doctor_id,doctor_name,specialty,state,region
DR0038,Dr. Ryan Adams,Cardiology,Texas,South
DR0039,Dr. Kathleen Brown,Cardiology,Texas,South
DR0040,Dr. Matthew Hernandez,Rheumatology,Texas,South
DR0041,Dr. Jonathan Collins,Rheumatology,North Carolina,South
DR0042,Dr. Raymond Gomez,Rheumatology,North Carolina,South
DR0043,Dr. Brandon Phillips,Rheumatology,Florida,South
DR0044,Dr. Ryan Roberts,Rheumatology,Florida,South
DR0045,Dr. Ryan Bailey,Rheumatology,Georgia,South
DR0046,Dr. Gary Williams,Rheumatology,Arizona,West
DR0047,Dr. Deborah Ruiz,Rheumatology,Illinois,Midwest
DR0048,Dr. Mark Torres,Rheumatology,Ohio,Midwest
DR0049,Dr. Raymond Brown,Rheumatology,North Carolina,South
DR0050,Dr. Katherine Garcia,Rheumatology,Illinois,Midwest
DR0051,Dr. Kimberly Chavez,Rheumatology,Texas,South
DR0052,Dr. Deborah Reyes,Oncology,Pennsylvania,Northeast
DR0053,Dr. Ryan Rivera,Oncology,Arizona,West
DR0054,Dr. Diane Reyes,Oncology,Ohio,Midwest
DR0055,Dr. Edward Nguyen,Oncology,Arizona,West
DR0056,Dr. Steven Thomas,Oncology,Texas,South
DR0057,Dr. Robert Martinez,Oncology,Ohio,Midwest
DR0058,Dr. Helen Rogers,Oncology,Pennsylvania,Northeast
DR0059,Dr. Stephanie Cook,Oncology,Illinois,Midwest
DR0060,Dr. Catherine Rivera,Oncology,Illinois,Midwest
DR0061,Dr. Barbara Hall,Oncology,Pennsylvania,Northeast
DR0062,Dr. Kevin Green,Oncology,Florida,South
DR0063,Dr. George Perez,Oncology,Arizona,West
DR0064,Dr. Brenda Cruz,Pulmonology,Illinois,Midwest
DR0065,Dr. Kenneth Gray,Pulmonology,Illinois,Midwest
DR0066,Dr. Andrew Hernandez,Pulmonology,Ohio,Midwest
DR0067,Dr. Dennis Allen,Pulmonology,Florida,South
DR0068,Dr. Kevin Morales,Pulmonology,Texas,South
DR0069,Dr. Ashley Morgan,Pulmonology,Arizona,West
DR0070,Dr. Ashley Peterson,Pulmonology,Illinois,Midwest
DR0071,Dr. Justin Bailey,Pulmonology,Illinois,Midwest
DR0072,Dr. Scott Harris,Pulmonology,Georgia,South
DR0073,Dr. John Green,Pulmonology,North Carolina,South
DR0074,Dr. Elizabeth Adams,Infectious Disease,Pennsylvania,Northeast
DR0075,Dr. Charles Cook,Infectious Disease,California,West
DR0076,Dr. Benjamin Evans,Infectious Disease,Arizona,West
DR0077,Dr. Nancy Adams,Infectious Disease,Georgia,South
DR0078,Dr. Maria Morgan,Infectious Disease,Florida,South
DR0079,Dr. Justin Reyes,Infectious Disease,Illinois,Midwest
DR0080,Dr. Emily Cruz,Infectious Disease,Pennsylvania,Northeast
DR0081,Dr. Jacob Rodriguez,Infectious Disease,Illinois,Midwest
DR0082,Dr. Nicholas Davis,Infectious Disease,Texas,South
DR0083,Dr. Melissa Peterson,Infectious Disease,Pennsylvania,Northeast
